response_id,duration_in_seconds,finished,recorded_date,location_latitude,location_longitude,distribution_channel,user_language,consent_age,consent,age,gender,rv_screen,race,education,income,party_id,pid_lean,x2020_vote,need_for_cognition_1,need_for_cognition_2,need_for_cognition_3,x2024_horserace,x2024_horserace_7_text,x2024_horserace_push,x2024_horserace_push_6_text,favorabilities_1,favorabilities_2,favorabilities_3,favorabilities_4,ideology_1,ideology_2,ideology_3,ideology_4,ideology_5,ideology_6,ideology_7,social_support_1,social_support_2,social_support_3,social_support_4,social_support_5,social_support_6,social_support_7,econ_support_1,econ_support_2,econ_support_3,econ_support_4,econ_support_5,econ_support_6,econ_support_7,econ_support_8,econ_support_9,econ_support_10,foreign_support_1,foreign_support_2,foreign_support_3,foreign_support_4,foreign_support_5,foreign_support_6,foreign_support_7,foreign_support_8,social_party_support_1,social_party_support_2,social_party_support_3,social_party_support_4,social_party_support_5,social_party_support_6,social_party_support_7,econ_party_support_1,econ_party_support_2,econ_party_support_3,econ_party_support_4,econ_party_support_5,econ_party_support_6,econ_party_support_7,econ_party_support_8,econ_party_support_9,econ_party_support_10,foreign_party_suppor_1,foreign_party_suppor_2,foreign_party_suppor_3,foreign_party_suppor_4,foreign_party_suppor_5,foreign_party_suppor_6,foreign_party_suppor_7,foreign_party_suppor_8,senate_control,house_control,scotus_control,scotus_appointments,gerrymandering_def,ec_mechanics,amendment_mechanics,filibuster,scotus_bias,money_vs_ideology,npv,threat_max_diff_1,threat_max_diff_2,reform_max_diff_1,reform_max_diff_2,prolific_pid,study_id,session_id,reform_statement1,reform_statement2,reform_statement3,reform_statement4,threat_statement1,threat_statement2,threat_statement3,threat_statement4,q_straightlining_count,q_straightlining_percentage,q_straightlining_questions
1817,1635,1,2024-10-07,42,-88,anonymous,EN,1,2,2,2,1,2,5,5,3,1,1,3,4,4,6,NA,1,NA,3,5,2,3,3,4,2,5,2,3,2,3,NA,NA,1,NA,1,NA,NA,2,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,3,NA,2,2,NA,4,NA,NA,3,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,4,NA,1,1,NA,1,2,1,3,3,2,1,4,3,2,1,1,1,2,1,666a36bbca7c66fe603e3588,66da270a6acf8cbd58dc85fe,67044ed676232857449f7aac,"We need to make Election Day a national holiday. Right now, Election Day is the first Tuesday of November. But not everyone can take the time away from work or taking care of kids, and their voices deserve to be heard too.","We need to let the House of Representatives grow with the population. In 1929, the House was capped at 435 members. That means that every 10 years, some states lose representation in Congress, even if their population is growing.","We need to ban members of Congress from trading individual stocks and bonds. Members of Congress are already paid over $170,000 per year, almost triple the median income. Elected officials should serve the public interest — not enrich themselves with insider trading.","Our system of government isn’t perfect, but most changes would make it worse, not better. Lots of proposals sound great on paper, but we don’t know how they’d play out in reality. Our current system is what the founders envisioned, and we shouldn’t second-guess the wisdom of their design.",The Electoral College,Conservative judges,Voter ID laws,Economic inequality,0,0,NA
1818,536,1,2024-10-07,37,-120,anonymous,EN,1,2,3,1,1,1,4,1,1,NA,1,2,4,4,1,NA,NA,NA,4,4,1,1,5,1,1,1,4,4,4,NA,NA,1,NA,NA,1,4,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,4,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,1,2,1,NA,5,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,4,NA,NA,1,2,2,1,1,1,1,1,2,2,1,1,1,2,2,5a66283813898300014b5e29,6704414f026babc0c70b4c16,670453e0d74b31cd6a0b4d5d,"Our system of government isn’t perfect, but most changes would make it worse, not better. Lots of proposals sound great on paper, but we don’t know how they’d play out in reality. Our current system is what the founders envisioned, and we shouldn’t second-guess the wisdom of their design.","We need to implement participatory budgeting, a system where community members are empowered through civic engagement to suggest and vote on ideas for spending a portion of a state or locality’s budget.","We need to prosecute the politicians who supported — and rioters who took part in — the January 6th insurrection. Trying to steal an election is unacceptable and un-American, and any politician who tried to do so must be disqualified from ever holding office again.","We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.",Influence of wealthy donors,Our democracy is not really under threat,Conservative judges,Partisanship,0,0,NA
1819,876,1,2024-10-07,36,-80,anonymous,EN,1,2,4,2,1,1,2,3,2,NA,2,5,2,4,2,NA,NA,NA,1,1,4,4,2,2,2,2,5,5,5,1,4,NA,1,NA,NA,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,4,NA,NA,1,2,NA,1,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,2,2,4,1,3,1,4,2,2,1,1,2,1,2,1,5be8d166cbc1d400018f1aef,6704414f026babc0c70b4c16,67045265dc0f4feee1621052,"Our system of government isn’t perfect, but most changes would make it worse, not better. Lots of proposals sound great on paper, but we don’t know how they’d play out in reality. Our current system is what the founders envisioned, and we shouldn’t second-guess the wisdom of their design.","As a country, we need to lower the temperature on both sides. Rhetoric painting the other side as a threat to our country or democracy is fanning the flames of division — and all too often, fueling political violence.","We need to switch to a system of proportional representation for the US House of Representatives. Proportional representation means that a party gets the same percentage of seats in the House of Representatives as the percentage of votes they receive. This way, everyone's opinions are more fairly represented. It makes the system fairer for all parties.","We should only use paper ballots for our elections. Right now, some states use electronic voting machines, where election results can be manipulated. Paper ballots are safe from hacking and can be hand-counted, reducing fraud.",Influence of wealthy donors,Election fraud,Voter ID laws,Having only two political parties,0,0,NA
1820,653,1,2024-10-07,45,-122,anonymous,EN,1,2,3,1,1,1,4,3,3,1,1,2,4,4,1,NA,NA,NA,4,4,2,1,5,2,1,2,5,4,4,NA,NA,1,NA,NA,1,4,NA,3,NA,NA,NA,NA,1,NA,NA,2,NA,2,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,2,NA,NA,NA,NA,1,NA,NA,2,NA,1,2,NA,2,NA,NA,NA,1,2,2,1,3,1,4,1,1,1,1,1,1,1,2,66060f19dda14ccd05dfcef9,6704414f026babc0c70b4c16,67045371b6abb3d1bfed602c,"We need to let the House of Representatives grow with the population. In 1929, the House was capped at 435 members. That means that every 10 years, some states lose representation in Congress, even if their population is growing.","It is time to take election fraud seriously. Whether it is foreign governments trying to influence our elections or non-citizens casting ballots, we need to take concrete steps to crack down on election interference and make sure that only eligible citizens vote in our elections.","The problem with our politics is that primary elections are decided by a minority of ideologically extreme partisans. Instead, we should have all candidates run in the same primary, regardless of party affiliation, and then have a runoff between the top two. This will lead to more moderate politicians.","Our system of government isn’t perfect, but most changes would make it worse, not better. Lots of proposals sound great on paper, but we don’t know how they’d play out in reality. Our current system is what the founders envisioned, and we shouldn’t second-guess the wisdom of their design.",Attempts to overturn elections,Partisanship,Racism,Voter ignorance of how our government works,0,0,NA
1821,45,1,2024-10-07,38,-122,anonymous,EN,1,2,1,1,4,4,3,6,3,1,5,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6700b85a418ea6034257e706,66da270a6acf8cbd58dc85fe,670455d27bce2a61c887806d,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
1822,354,1,2024-10-07,43,-97,anonymous,EN,1,2,4,1,1,1,4,2,2,NA,2,2,4,4,2,NA,NA,NA,1,2,4,4,2,3,2,2,5,5,5,NA,NA,2,4,NA,NA,2,NA,NA,2,NA,1,NA,NA,4,NA,NA,1,NA,NA,NA,1,4,NA,NA,NA,NA,3,1,NA,NA,2,NA,NA,3,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,2,1,NA,NA,3,3,2,1,1,1,1,1,1,1,2,2,1,2,1,6517301b6d21d25e19c7e501,6704414f026babc0c70b4c16,6704547c79af3127154bf051,"We need to switch to electing the president by national popular vote. The Electoral College is undemocratic — two of the last four presidents lost the popular vote, and the system lets candidates ignore over 80% of voters. It goes against America’s fundamental promise: government of, by, and for the people.","We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.","We should only use paper ballots for our elections. Right now, some states use electronic voting machines, where election results can be manipulated. Paper ballots are safe from hacking and can be hand-counted, reducing fraud.","We should make Washington, DC, and Puerto Rico into states. Right now, residents of both are US citizens but don’t have a say in Congress. Taxation without representation? That’s not what America is about.",Partisanship,Extremism from both sides equally,Voter ignorance of how our government works,Immigration bringing in new voters who don’t share American values,0,0,NA
1823,736,1,2024-10-07,34,-84,anonymous,EN,1,2,3,1,1,4,3,3,1,NA,1,2,4,4,1,NA,NA,NA,4,4,2,1,4,2,1,1,4,4,4,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,2,NA,NA,NA,2,3,2,NA,4,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,NA,4,2,3,NA,2,NA,NA,NA,NA,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,63d2094a50ed63bfb3b19fd4,6704414f026babc0c70b4c16,6704515a4c401b0a74710df7,"As a country, we need to lower the temperature on both sides. Rhetoric painting the other side as a threat to our country or democracy is fanning the flames of division — and all too often, fueling political violence.","Our system of government isn’t perfect, but most changes would make it worse, not better. Lots of proposals sound great on paper, but we don’t know how they’d play out in reality. Our current system is what the founders envisioned, and we shouldn’t second-guess the wisdom of their design.","The Constitution is meant to be a living document, that American citizens adapt and modify to keep up with changing times. But these days, it’s just too hard to change. We need to make it easier to amend the Constitution so it can better address current problems.","We need to ban members of Congress from trading individual stocks and bonds. Members of Congress are already paid over $170,000 per year, almost triple the median income. Elected officials should serve the public interest — not enrich themselves with insider trading.",Partisanship,Immigration bringing in new voters who don’t share American values,Conservative judges,The Electoral College,1,0.1111111111111111,QID54
1824,251,1,2024-10-07,38,-86,anonymous,EN,1,2,4,1,1,1,6,6,1,NA,1,2,5,4,1,NA,NA,NA,4,4,2,1,5,1,1,1,3,4,3,NA,4,1,NA,4,NA,NA,1,4,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,3,NA,NA,4,NA,2,1,NA,2,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,6638dd08c8970837c09a0a15,6704414f026babc0c70b4c16,6704550818016aa09bbf4c24,"The pundits like to slice and dice our country into red states and blue states. But there is not a liberal America and a conservative America, there is the United States of America. We need to move past the division spread by politicians and the media and come together as one country.","The Constitution is meant to be a living document, that American citizens adapt and modify to keep up with changing times. But these days, it’s just too hard to change. We need to make it easier to amend the Constitution so it can better address current problems.","We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.","We need to place term limits on Supreme Court justices, where each justice would serve for 18 years, staggered so that each president appoints two justices per four-year term. This way, every president has the same influence on the Court’s ideological balance.",Right-wing extremism,Election fraud,Attempts to overturn elections,Partisanship,1,0.1111111111111111,QID56
1825,653,1,2024-10-07,32,-82,anonymous,EN,1,2,4,1,1,1,5,3,1,NA,1,2,4,4,6,NA,1,NA,4,4,3,2,5,1,1,1,3,4,3,NA,NA,NA,NA,1,2,1,NA,4,NA,NA,NA,NA,NA,NA,4,3,NA,3,1,NA,NA,3,NA,NA,NA,NA,NA,NA,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,2,2,NA,3,4,NA,NA,4,NA,NA,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,631f7e30612b0bfe3a4e3819,6704414f026babc0c70b4c16,6704537a85dac19646bdbf46,"We need to end the Senate filibuster. The filibuster lets just 41 senators block bills, even if they’re supported by bipartisan majorities. It’s just another tool to promote gridlock, and it is time for it to go.","We need to prosecute the politicians who supported — and rioters who took part in — the January 6th insurrection. Trying to steal an election is unacceptable and un-American, and any politician who tried to do so must be disqualified from ever holding office again.","We need to place term limits on Supreme Court justices, where each justice would serve for 18 years, staggered so that each president appoints two justices per four-year term. This way, every president has the same influence on the Court’s ideological balance.","We need to switch to electing the president by national popular vote. The Electoral College is undemocratic — two of the last four presidents lost the popular vote, and the system lets candidates ignore over 80% of voters. It goes against America’s fundamental promise: government of, by, and for the people.",Attempts to overturn elections,Right-wing extremism,Influence of wealthy donors,Having only two political parties,1,0.1111111111111111,QID55
1826,747,1,2024-10-07,41,-112,anonymous,EN,1,2,3,2,1,2,5,2,3,1,1,3,4,4,1,NA,NA,NA,4,4,3,5,5,2,1,1,3,7,4,NA,4,NA,NA,NA,1,3,NA,3,5,NA,NA,2,NA,NA,NA,NA,1,3,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,3,4,NA,NA,4,NA,NA,NA,NA,4,3,NA,2,NA,NA,NA,NA,2,1,2,1,1,2,1,4,1,2,1,1,2,1,1,5c546de9aba7d60001f1eff4,66da270a6acf8cbd58dc85fe,6704531cdc2e24aca4377597,"We need to switch to electing the president by national popular vote. The Electoral College is undemocratic — two of the last four presidents lost the popular vote, and the system lets candidates ignore over 80% of voters. It goes against America’s fundamental promise: government of, by, and for the people.","The problem with our politics is that primary elections are decided by a minority of ideologically extreme partisans. Instead, we should have all candidates run in the same primary, regardless of party affiliation, and then have a runoff between the top two. This will lead to more moderate politicians.","We need to restore the 1965 Voting Rights Act. Across the country, voting rights are under threat as politicians use voter suppression tactics to disenfranchise minority voters and violate their 15th Amendment right to vote.","We need to expand the number of justices in the Supreme Court. Right now, the unelected conservative majority on the Court is taking away people's rights and forcing extreme rulings on the country. New justices would restore balance to the Court’s rulings.",Extremism from both sides equally,Left-wing extremism,Election fraud,Attempts to overturn elections,0,0,NA
1827,380,1,2024-10-07,30,-96,anonymous,EN,1,2,4,2,1,4,5,6,2,NA,1,2,4,4,2,NA,NA,NA,2,2,4,4,2,1,1,1,5,5,5,NA,4,4,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,2,2,NA,NA,4,NA,NA,2,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,1,NA,NA,1,NA,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,65d0c7b16a2da5193f3f3201,6704414f026babc0c70b4c16,67045480e0990896a68b9e73,"We need to switch to a system of proportional representation for the US House of Representatives. Proportional representation means that a party gets the same percentage of seats in the House of Representatives as the percentage of votes they receive. This way, everyone's opinions are more fairly represented. It makes the system fairer for all parties.","We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.","We need term limits for Congress. We don’t need career politicians staying in office for decades, twelve years is long enough — that’s two terms for senators and six terms for representatives.","We need to make Election Day a national holiday. Right now, Election Day is the first Tuesday of November. But not everyone can take the time away from work or taking care of kids, and their voices deserve to be heard too.",Gerrymandering,Voter ID laws,Influence of wealthy donors,Racism,1,0.1111111111111111,QID56
1828,976,1,2024-10-07,35,-90,anonymous,EN,1,2,4,2,1,1,2,2,1,NA,1,4,2,4,1,NA,NA,NA,4,4,1,1,5,1,3,1,3,1,4,1,4,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,2,2,NA,NA,5,5,5,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,1,1,NA,NA,5,3,5,NA,NA,NA,NA,NA,1,2,2,2,3,3,1,4,1,2,1,2,1,1,2,666ca8f24bc3a8e75b8f6ee2,6704414f026babc0c70b4c16,6704522bc6fa8ab2c26f4961,"It is time to take election fraud seriously. Whether it is foreign governments trying to influence our elections or non-citizens casting ballots, we need to take concrete steps to crack down on election interference and make sure that only eligible citizens vote in our elections.","We should make Washington, DC, and Puerto Rico into states. Right now, residents of both are US citizens but don’t have a say in Congress. Taxation without representation? That’s not what America is about.","We need to let the House of Representatives grow with the population. In 1929, the House was capped at 435 members. That means that every 10 years, some states lose representation in Congress, even if their population is growing.","We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.",Immigration bringing in new voters who don’t share American values,Economic inequality,Extremism from both sides equally,Right-wing extremism,1,0.1111111111111111,QID52
1829,554,1,2024-10-07,34,-118,anonymous,EN,1,2,2,2,1,3,5,5,1,NA,1,3,4,4,1,NA,NA,NA,3,4,2,3,5,1,1,1,5,7,5,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,1,5,NA,2,NA,NA,NA,NA,NA,2,5,2,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,2,1,1,NA,1,2,4,4,4,3,1,4,2,2,1,1,2,2,2,65fcdebb4bb107ea35f4ab42,66da270a6acf8cbd58dc85fe,670453695e5f01e98695963f,"We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.","We need to overturn Citizens United, a 2010 Supreme Court case that struck down campaign contribution limits for corporations. The wealthy have too much influence in politics, and corporations making unlimited donations to candidates is just legalized corruption.","We need new leadership. The leaders of both parties have been in office too long, and they’ve proven themselves either incapable of or unwilling to solve problems. It’s time for some fresh faces from a new generation.","We need to enact a universal voter ID law, requiring all Americans to show a valid ID before voting in any federal election. This ensures that only citizens are voting which guards against fraud, and ensures trust in the democratic process.",Having only two political parties,Election fraud,Conservative judges,Extremism from both sides equally,0,0,NA
1830,487,1,2024-10-07,47,-124,anonymous,EN,1,2,2,1,1,3,2,1,1,NA,1,3,3,4,1,NA,NA,NA,4,4,3,3,5,1,1,1,3,3,3,NA,4,1,NA,NA,1,NA,NA,NA,5,5,NA,NA,NA,NA,5,NA,NA,NA,1,NA,4,NA,1,NA,NA,2,1,NA,NA,1,NA,NA,NA,4,3,NA,NA,NA,NA,5,NA,NA,NA,4,NA,3,NA,1,NA,4,4,2,1,1,1,1,4,3,2,1,2,2,2,1,63bbcc34e88bb71a8739e9e4,6704414f026babc0c70b4c16,6704541bb62c3ecfc2e2e91d,"We need to get rid of voter ID laws. Data shows that voter fraud is exceedingly rare, and voter ID laws are mostly used to justify discrimination, disenfranchising some voters on the basis of skin color.","We need to switch to a ranked-choice voting system, where voters rank candidates in their order of preference. If no candidate has a majority of the votes in the first round, the candidate with the fewest votes has their votes reallocated to their supporters’ second choices, continuing until one candidate wins a majority. This eliminates the problem where third parties act as “spoilers” and lets voters better express their views.","We should make Washington, DC, and Puerto Rico into states. Right now, residents of both are US citizens but don’t have a say in Congress. Taxation without representation? That’s not what America is about.","We need new leadership. The leaders of both parties have been in office too long, and they’ve proven themselves either incapable of or unwilling to solve problems. It’s time for some fresh faces from a new generation.",Election fraud,Voter ID laws,Left-wing extremism,Gerrymandering,1,0.1111111111111111,QID51
1831,576,1,2024-10-07,37,-87,anonymous,EN,1,2,2,1,1,2,3,1,1,NA,1,3,4,4,1,NA,NA,NA,4,4,3,5,7,1,1,1,1,7,1,1,4,NA,NA,NA,NA,4,1,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,4,2,NA,NA,NA,NA,4,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,4,4,NA,4,4,2,4,3,4,1,3,2,2,1,2,2,2,2,5fcae14b97b7d67e1304d996,66da270a6acf8cbd58dc85fe,670453cea268ef12a3fc62ff,"We need to implement participatory budgeting, a system where community members are empowered through civic engagement to suggest and vote on ideas for spending a portion of a state or locality’s budget.","We need to end the Senate filibuster. The filibuster lets just 41 senators block bills, even if they’re supported by bipartisan majorities. It’s just another tool to promote gridlock, and it is time for it to go.","The pundits like to slice and dice our country into red states and blue states. But there is not a liberal America and a conservative America, there is the United States of America. We need to move past the division spread by politicians and the media and come together as one country.","We need to expand the number of justices in the Supreme Court. Right now, the unelected conservative majority on the Court is taking away people's rights and forcing extreme rulings on the country. New justices would restore balance to the Court’s rulings.",Extremism from both sides equally,Right-wing extremism,Partisanship,Having only two political parties,1,0.1111111111111111,QID52
1832,255,1,2024-10-07,47,-93,anonymous,EN,1,2,4,2,1,1,5,3,3,3,1,3,4,4,1,NA,NA,NA,4,4,2,2,3,1,1,1,5,5,5,2,4,NA,NA,NA,5,NA,NA,4,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,2,NA,NA,NA,1,NA,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,4,2,1,4,2,1,4,2,2,1,1,1,1,2,63f7aea5c5b447da24dc7d9a,6704414f026babc0c70b4c16,6704550d75690a71618009c1,"The biggest problem in politics is extremism, on both sides. Both parties have been captured by activists who are out of touch with the public and only want to push their own ideological agendas. Politicians need to be more moderate like most Americans are.","We need to prosecute the politicians who supported — and rioters who took part in — the January 6th insurrection. Trying to steal an election is unacceptable and un-American, and any politician who tried to do so must be disqualified from ever holding office again.","We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.","We need new leadership. The leaders of both parties have been in office too long, and they’ve proven themselves either incapable of or unwilling to solve problems. It’s time for some fresh faces from a new generation.",Attempts to overturn elections,Conservative judges,Gerrymandering,Economic inequality,0,0,NA
1833,699,1,2024-10-07,26,-80,anonymous,EN,1,2,3,2,1,3,3,3,3,1,1,2,4,4,1,NA,NA,NA,4,4,2,1,5,4,1,1,3,4,3,NA,NA,1,NA,4,1,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,3,4,NA,NA,NA,NA,NA,4,NA,NA,1,NA,2,4,NA,NA,NA,2,NA,NA,1,4,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,6633ce38def177f3db410a84,6704414f026babc0c70b4c16,67045359494f300f8721ae73,"We need to expand the number of justices in the Supreme Court. Right now, the unelected conservative majority on the Court is taking away people's rights and forcing extreme rulings on the country. New justices would restore balance to the Court’s rulings.","We should make Washington, DC, and Puerto Rico into states. Right now, residents of both are US citizens but don’t have a say in Congress. Taxation without representation? That’s not what America is about.","We need a national ban on gerrymandering: the process of politicians redrawing legislative districts to unfairly advantage their party. In a democracy, voters are supposed to pick the politicians — not the other way around.","The biggest problem in politics is extremism, on both sides. Both parties have been captured by activists who are out of touch with the public and only want to push their own ideological agendas. Politicians need to be more moderate like most Americans are.",Influence of wealthy donors,Partisanship,Racism,The Electoral College,1,0.1111111111111111,QID56
1834,526,1,2024-10-07,32,-97,anonymous,EN,1,2,4,1,1,4,5,2,3,3,3,5,1,4,7,Peter Sonski,6,Peter Sonski,4,4,4,4,3,7,7,1,5,7,5,2,NA,NA,NA,1,NA,1,1,NA,3,NA,5,NA,NA,NA,NA,NA,1,NA,NA,5,2,NA,NA,NA,1,NA,NA,NA,1,NA,2,1,NA,3,NA,2,NA,NA,NA,NA,NA,4,NA,NA,4,4,NA,NA,NA,4,4,2,2,1,2,4,4,2,2,1,2,1,1,1,5ecc6ffce3ca77849333e83e,6704414f026babc0c70b4c16,6704540d53eee1e5500b4b5e,"We should make Washington, DC, and Puerto Rico into states. Right now, residents of both are US citizens but don’t have a say in Congress. Taxation without representation? That’s not what America is about.","As a country, we need to lower the temperature on both sides. Rhetoric painting the other side as a threat to our country or democracy is fanning the flames of division — and all too often, fueling political violence.","We need to switch to a ranked-choice voting system, where voters rank candidates in their order of preference. If no candidate has a majority of the votes in the first round, the candidate with the fewest votes has their votes reallocated to their supporters’ second choices, continuing until one candidate wins a majority. This eliminates the problem where third parties act as “spoilers” and lets voters better express their views.","The Constitution is meant to be a living document, that American citizens adapt and modify to keep up with changing times. But these days, it’s just too hard to change. We need to make it easier to amend the Constitution so it can better address current problems.",Lack of patriotism,Extremism from both sides equally,Our democracy is not really under threat,The Electoral College,2,0.2222222222222222,"QID18,QID56"
1835,349,1,2024-10-07,41,-74,anonymous,EN,1,2,5,1,1,1,6,6,2,NA,2,2,4,4,2,NA,NA,NA,1,2,4,3,1,1,3,4,5,3,5,NA,1,NA,NA,2,4,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,2,NA,NA,NA,3,NA,1,NA,NA,2,NA,NA,2,3,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,3,NA,NA,NA,2,NA,3,NA,1,1,2,1,1,2,2,3,2,2,2,1,1,1,2,66376ada52c39f524ab6f827,6704414f026babc0c70b4c16,670454aa247bafb036a0aff9,"We need to make Election Day a national holiday. Right now, Election Day is the first Tuesday of November. But not everyone can take the time away from work or taking care of kids, and their voices deserve to be heard too.","We need an age limit on candidates for president. Both the current and previous presidents are showing clear signs of cognitive decline. No person over 75 should be eligible for office, and all candidates should be required to take cognitive tests.","We need to expand the number of justices in the Supreme Court. Right now, the unelected conservative majority on the Court is taking away people's rights and forcing extreme rulings on the country. New justices would restore balance to the Court’s rulings.","We need to switch to a ranked-choice voting system, where voters rank candidates in their order of preference. If no candidate has a majority of the votes in the first round, the candidate with the fewest votes has their votes reallocated to their supporters’ second choices, continuing until one candidate wins a majority. This eliminates the problem where third parties act as “spoilers” and lets voters better express their views.",Racism,Left-wing extremism,Conservative judges,Our democracy is not really under threat,0,0,NA
1836,363,1,2024-10-07,39,-77,anonymous,EN,1,2,2,1,1,2,6,6,2,NA,2,5,5,4,2,NA,NA,NA,1,3,4,2,1,1,4,1,7,5,7,NA,4,4,NA,2,NA,NA,NA,2,NA,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,4,3,NA,5,NA,NA,NA,2,NA,NA,4,3,NA,NA,NA,NA,NA,4,NA,NA,3,4,NA,NA,1,2,2,2,3,1,2,3,1,2,2,2,1,1,2,66e34d24d1be7cce113b5075,66da270a6acf8cbd58dc85fe,670454afe6bf5206d8d1c8b1,"We need to let the House of Representatives grow with the population. In 1929, the House was capped at 435 members. That means that every 10 years, some states lose representation in Congress, even if their population is growing.","We should only use paper ballots for our elections. Right now, some states use electronic voting machines, where election results can be manipulated. Paper ballots are safe from hacking and can be hand-counted, reducing fraud.","The problem with our politics is that primary elections are decided by a minority of ideologically extreme partisans. Instead, we should have all candidates run in the same primary, regardless of party affiliation, and then have a runoff between the top two. This will lead to more moderate politicians.","We should make Washington, DC, and Puerto Rico into states. Right now, residents of both are US citizens but don’t have a say in Congress. Taxation without representation? That’s not what America is about.",Immigration bringing in new voters who don’t share American values,Having only two political parties,Influence of wealthy donors,Partisanship,0,0,NA
1837,171,1,2024-10-07,30,-96,anonymous,EN,1,2,2,1,5,1,2,1,3,3,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6577fb64d29f73c7b3a13539,6704414f026babc0c70b4c16,6704556b1b99cb13074418d6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
